name,stake,address,ip,cloud,city,country,coords,ping
Mysten-1,235248877.446939,/dns/mysten-1.mainnet.sui.io/tcp/8080/http,45.63.91.154,"The Constant Company, LLC",Santa Clara,US,"37.3924,-121.9623",0
Figment,230973640.915639,/dns/sui-mainnet-figment.staking.production.figment.io/tcp/8080/http,51.222.248.87,OVH SAS,Beauharnois,CA,"45.3134,-73.8725",104.0
Mysten-2,228357775.398641,/dns/mysten-2.mainnet.sui.io/tcp/8080/http,136.244.64.220,"The Constant Company, LLC",London,GB,"51.5085,-0.1257",0
P2P.ORG,220683358.028571,/dns/val1.premainnet.sui.p2p.org/tcp/8080/http,212.117.185.244,"Servers.com, Inc.",Amsterdam,NL,"52.3740,4.8897",26.6
Triton One,210253018.711575,/dns/validator.mainnet.sui.rpcpool.com/tcp/8080/http,202.8.8.8,TeraSwitch Networks Inc.,Amsterdam,NL,"52.3740,4.8897",27.7
Blockdaemon,204418907.743391,/dns/bd-sui-main-validator-01.bdnodes.net/tcp/8080/http,208.91.107.169,TeraSwitch Networks Inc.,Den’enchōfu,JP,"35.6170,139.7486",290.0
Anchorage Digital-2,180734780.871062,/dns/sui.vestige.systems/tcp/8080/http,80.93.18.164,Digiweb ltd,Dublin,IE,"53.3331,-6.2489",0
Chorus One,161205051.897927,/dns/sui-mainnet.chorus.one/tcp/8080/http,46.165.244.19,Leaseweb Deutschland GmbH,Frankfurt am Main,DE,"50.1155,8.6842",26.9
Luganodes,160823995.154736,/dns/sui-mainnet.nodes.lgns.xyz/tcp/8080/http,93.115.25.174,UAB Cherry Servers,Vilnius,LT,"54.6892,25.2798",15.4
Aftermath,143232670.091623,/dns/validator.sui.mainnet.aftermath.finance/tcp/8080/http,57.128.47.71,OVH SAS,Strasbourg,FR,"48.5839,7.7455",22.6
Everstake,139293009.438399,/dns/sui-main.everstake.one/tcp/8080/http,45.250.254.103,Latitude.sh,Ashburn,US,"39.0437,-77.4875",107.0
DSRV,138991572.837486,/dns/validator-01.sui.dsrvlabs.net/tcp/8080/http,141.95.171.152,OVH SAS,Lille,FR,"50.6330,3.0586",27.7
Overclock,138550830.1159,/dns/sui-mainnet.overclock.run/tcp/8080/http,84.17.53.103,Datacamp Limited,Zürich,CH,"47.3667,8.5500",30.2
Cosmostation,138539887.953753,/dns/sui-mainnet-validator.cosmostation.io/tcp/8080/http,172.255.251.44,"Servers.com, Inc.",Amsterdam,NL,"52.3740,4.8897",36.2
mrgn,128502715.80038,/dns/mainnet.fengsui.wtf/tcp/8080/http,141.98.216.164,TeraSwitch Networks Inc.,Newark,US,"40.7357,-74.1724",96.4
Blockscope,124165066.177136,/dns/sui.blockscope.net/tcp/8080/http,15.235.82.231,OVH SAS,Beauharnois,CA,"45.3134,-73.8725",105.0
Chainode Tech,123770199.805804,/dns/sui-mainnet.chainode.tech/tcp/8080/http,103.50.32.114,Latitude.sh,London,GB,"51.5085,-0.1257",35.0
Kiln,123465644.278437,/dns/validator-0.sui.mainnet.kiln.fi/tcp/8080/http,162.19.43.6,OVH SAS,Strasbourg,FR,"48.5839,7.7455",22.7
BartestneT,120631844.593426,/dns/sui-validator.bartestnet.com/tcp/8080/http,45.250.253.76,Latitude.sh,New York City,US,"40.7143,-74.0060",96.3
Ahoy Validator,118757520.676527,/dns/main.ahoyvalidator.xyz/tcp/8080/http,103.50.32.109,Latitude.sh,London,GB,"51.5085,-0.1257",35.1
ContributionDAO,117685996.774616,/dns/sui-mainnnet.contributiondao.com/tcp/8080/http,141.95.99.142,OVH SAS,Frankfurt am Main,DE,"50.1155,8.6842",0
Republic Crypto | Runtime,114235332.242991,/dns/v.sui.mainnet.republiccrypto-source.info/tcp/8080/http,91.210.226.206,Michael Sebastian Schinzel trading as IP-Projects GmbH & Co. KG,Frankfurt am Main,DE,"50.1155,8.6842",0
n1stake/ Vincagame,112980960.705631,/dns/sui-mainnet.n1stake.com/tcp/8080/http,173.231.17.194,"WebNX, Inc.",Salt Lake City,US,"40.7608,-111.8911",169.0
Durian,112462101.888026,/dns/p2p.1c167974-23b6-423e-a4d4-bc0ce92ca4fb.sui.bison.run/tcp/8080/http,54.169.118.60,"Amazon.com, Inc.",Singapore,SG,"1.2897,103.8501",0
Persimmon,112455841.654742,/dns/p2p.0018df71-34f0-470d-b60c-77f8dbf7960d.sui.bison.run/tcp/8080/http,35.78.224.141,"Amazon.com, Inc.",Tokyo,JP,"35.6895,139.6917",0
MoveFuns DAO,112259754.557085,/dns/sui-validator.mainnet.movefuns.org/tcp/8080/http,135.181.228.230,Hetzner Online GmbH,Helsinki,FI,"60.1695,24.9354",0.281
Staketab | Suiscan,107284396.033419,/dns/sui-mainnet.staketab.com/tcp/8080/http,103.50.32.107,Latitude.sh,London,GB,"51.5085,-0.1257",35.0
BlockVision,106441192.064527,/dns/sui-validator.blockvision.org/tcp/8080/http,35.240.145.14,Google LLC,Singapore,SG,"1.2897,103.8501",187.0
Coinbase Cloud,101315284.458959,/dns/p2p.7861b075-7a9d-4ed7-a4fb-a861830573e1.sui.bison.run/tcp/8080/http,18.202.244.51,"Amazon.com, Inc.",Dublin,IE,"53.3331,-6.2489",0
HashedPotatoes,95263794.2179702,/dns/suimain.hashedpotatoes.net/tcp/8080/http,69.67.149.35,Latitude.sh,Los Angeles,US,"34.0522,-118.2437",173.0
TrustedPoint,92578785.1689277,/dns/sui-mainnet.testnet-pride.com/tcp/8080/http,45.250.253.74,Latitude.sh,New York City,US,"40.7143,-74.0060",104.0
TPT,88728636.655579,/dns/sui-mainnet.thepassivetrust.com/tcp/8080/http,161.97.131.71,Contabo GmbH,Düsseldorf,DE,"51.2217,6.7762",26.9
Artifact,88518371.2752368,/dns/sui.artifact-staking.io/tcp/8080/http,206.125.33.6,Scott Technology Center,Omaha,US,"41.2563,-95.9404",0
Coinage x DAIC,88323066.0459982,/dns/sui-mainnet.dzdaic.com/tcp/8080/http,37.252.184.226,IPAX GmbH,Vienna,AT,"48.2085,16.3721",39.3
POPS,88162463.0574627,/dns/val01-sui-m.pops.one/tcp/8080/http,185.8.104.19,UAB Cherry Servers,Vilnius,LT,"54.6892,25.2798",0
Nodeinfra,86517943.4034673,/dns/sui-mainnet.nodeinfravalidators.com/tcp/8080/http,64.130.52.116,TeraSwitch Networks Inc.,Amsterdam,NL,"52.3740,4.8897",26.7
Stakin,84805843.846472,/dns/sui-mainnet.stakin-nodes.com/tcp/8080/http,93.115.25.75,UAB Cherry Servers,Vilnius,LT,"54.6892,25.2798",15.4
Laine,84440633.9671316,/dns/sui-mainnet.laine.one/tcp/8080/http,103.50.32.184,Latitude.sh,London,GB,"51.5085,-0.1257",35.0
01node,84335146.4636106,/dns/sui-mainnet.01no.de/tcp/8080/http,195.14.6.175,01NODE STAKING SERVICES S.R.L.,Bucharest,RO,"44.4323,26.1063",66.8
GalaxyDigital,83381629.0240974,/dns/sui.bci.glxy.com/tcp/8080/http,52.215.11.218,"Amazon.com, Inc.",Dublin,IE,"53.3331,-6.2489",0
Staking Defense League,83220841.4085209,/dns/sui-mainnet.stakingdefenseleague.com/tcp/8080/http,188.214.129.144,UAB Cherry Servers,Vilnius,LT,"54.6892,25.2798",15.5
OKXEarn,83203399.5265699,/ip4/43.207.255.138/tcp/18080/http,43.207.255.138,"Amazon.com, Inc.",Tokyo,JP,"35.6895,139.6917",0
Encapsulate (fka KingSuper),82290748.2771633,/dns/sui-mainnet.kingsuper.services/tcp/8080/http,139.84.139.8,"The Constant Company, LLC",Doddaballapura,IN,"13.2257,77.5750",149.0
ChainIDE,82183010.0151422,/dns/sui.chainide.com/tcp/8080/http,47.236.75.72,"Alibaba (US) Technology Co., Ltd.",Singapore,SG,"1.2897,103.8501",277.0
BwareLabs,81854193.8745984,/ip4/141.95.34.55/tcp/8080/http,141.95.34.55,OVH SAS,Frankfurt am Main,DE,"50.1155,8.6842",21.1
KiligLab,81063387.1736798,/dns/mainnet.sui.kiliglab.io/tcp/8080/http,8.213.144.236,"Alibaba (US) Technology Co., Ltd.",Seoul,KR,"37.5660,126.9784",240.0
MIDL.dev,78189149.1096041,/dns/sui.midl.dev/tcp/8080/http,62.210.140.115,SCALEWAY S.A.S.,Paris,FR,"48.8534,2.3488",0
Stardust Staking,76592156.185539,/dns/sui.starduststaking.com/tcp/8080/http,46.229.233.174,VNET a.s.,Bratislava,SK,"48.1482,17.1067",36.6
ONBUFF,72043604.3005432,/dns/mainnet-sui-validator.onbuff.com/tcp/8080/http,52.231.106.71,Microsoft Corporation,Seoul,KR,"37.5660,126.9784",0
Chainflow,70430254.7501864,/dns/suimain01.chainflow.io/tcp/8080/http,185.8.104.18,UAB Cherry Servers,Vilnius,LT,"54.6892,25.2798",15.8
ORBR,68163104.4292183,/dns/rbr-1.mainet.sui.io/tcp/8080/http,78.141.245.48,"The Constant Company, LLC",London,GB,"51.5085,-0.1257",0
Stakingcabin,63576043.3164762,/dns/mnv.sui.stakingcabin.com/tcp/8080/http,54.64.235.237,"Amazon.com, Inc.",Tokyo,JP,"35.6895,139.6917",281.0
Restake,63556298.4492539,/dns/restake-sui-main-00-0.machine.restake.tech/tcp/8080/http,103.219.171.17,Latitude.sh,Frankfurt am Main,DE,"50.1155,8.6842",20.5
Scale3,62551313.1003342,/dns/sui-mainnet-validator.scale3labs.com/tcp/8080/http,45.250.254.151,Latitude.sh,Ashburn,US,"39.0437,-77.4875",107.0
Citadel.one,62054973.6658048,/dns/sui-val.citadel.one/tcp/8080/http,141.94.137.186,OVH SAS,Lille,FR,"50.6330,3.0586",28.4
Staking Facilities,61212000.946826,/dns/sui.stakingwizard.com/tcp/8080/http,5.199.170.77,UAB Cherry Servers,Šiauliai,LT,"55.9333,23.3167",15.4
Stakefish,52350248.0706454,/dns/sui-mainnet.ops.fish/tcp/8080/http,147.75.199.7,"Packet Host, Inc.",Parsippany,US,"40.8579,-74.4260",112.0
